num_run,N,host_runtime [ms]
1.0,2048.0,756.187
32.0,2048.0,640.376
10.0,2048.0,847.493
8.0,2048.0,701.24
24.0,2048.0,664.078
17.0,2048.0,725.796
3.0,2048.0,818.6510000000001
11.0,2048.0,689.943
21.0,2048.0,742.256
6.0,2048.0,706.8820000000001
23.0,2048.0,669.563
20.0,2048.0,739.364
16.0,2048.0,591.367
9.0,2048.0,771.395
7.0,2048.0,866.995
29.0,2048.0,716.03
31.0,2048.0,619.74
18.0,2048.0,723.8100000000001
2.0,2048.0,975.591
12.0,2048.0,697.696
25.0,2048.0,806.265
13.0,2048.0,719.939
15.0,2048.0,646.1560000000001
27.0,2048.0,731.999
26.0,2048.0,755.581
30.0,2048.0,654.187
19.0,2048.0,789.676
4.0,2048.0,672.4730000000001
14.0,2048.0,727.3240000000001
28.0,2048.0,709.7040000000001
5.0,2048.0,811.845
22.0,2048.0,639.538
